user_wallet,gpu_type,gpu_hours,power_consumption_kwh,co2_emissions_kg,co2_emissions_tons,credits_needed,region,carbon_intensity,is_offset,transaction_id
JqQ3eS1VtWcXbR5NdP9HmZvFyIoC4BsQnElTcDzKwG8B,A100,250.0,100.0,40.0,0.04,0.04,US,0.4,True,1
KrR4fT2WuXdYcS6OeQ0InAwGzJpD5CtRoFmUdEaLxH9C,H100,500.0,350.0,140.0,0.14,0.14,US,0.4,True,2
LsS5gU3XvYeZdT7PfR1JoBxHaKqE6DuSpGnVeEbMyI0D,V100,1000.0,300.0,240.0,0.24,0.24,China,0.8,True,3
MtT6hV4YwZfAeU8QgS2KpCyIbLrF7EvTqHoWfFcNzJ1E,A100,2500.0,1000.0,400.0,0.4,0.4,US,0.4,True,4
NuU7iW5ZxAgBfV9RhT3LqDzJcMsG8FwUrIpXgGdOaK2F,H100,600.0,420.0,168.0,0.168,0.168,US,0.4,True,5
OvV8jX6AyBhCgW0SiU4MrEaKdNtH9GxVsJqYhHeQbL3G,A100,1000.0,400.0,160.0,0.16,0.16,US,0.4,True,6
PwW9kY7BzCiDhX1TjV5NsFbLeMuI0HyWtKrZiIfRcM4H,V100,2500.0,750.0,300.0,0.3,0.3,US,0.4,True,7
QxX0lZ8CaDjEiY2UkW6OtGcMfNvJ1IzXuLsAjJgSdN5I,A100,1500.0,600.0,240.0,0.24,0.24,US,0.4,True,8
RyY1mA9DbEkFjZ3VlX7PuHdNgOwK2JaYvMtBkKhTeO6J,H100,400.0,280.0,112.0,0.112,0.112,US,0.4,True,9
SzZ2nB0EcFlGkA4WmY8QvIeOhPxL3KbZwNuClLiUfP7K,V100,500.0,150.0,120.0,0.12,0.12,China,0.8,True,10
TaA3oC1FdGmHlB5XnZ9RwJfPiQyM4LcAwOvDmMjVgQ8L,A100,2000.0,800.0,80.0,0.08,0.08,EU,0.1,True,11
UbB4pD2GeHnImC6YoA0SxKgQjRzN5MdBxPwEnNkWhR9M,H100,700.0,490.0,196.0,0.196,0.196,US,0.4,True,12
VcC5qE3HfIoJnD7ZpB1TyLhRkSaO6NeByQxFoOlXiS0N,A100,2250.0,900.0,360.0,0.36,0.36,US,0.4,True,13
WdD6rF4IgJpKoE8AqC2UzMiSlTbP7OfCzRyGpPmYjT1O,V100,1833.33,550.0,220.0,0.22,0.22,US,0.4,True,14
XeE7sG5JhKqLpF9BrD3VaMjTmUcQ8PgDaShHqQnZkU2P,H100,850.0,595.0,238.0,0.238,0.238,US,0.4,True,15
